# archive-artefacts-baseline - records whose spec file is gone for good (S2592).
#
# Read by scripts/quality/assert-archive-artefacts.ps1. A record listed here is a KNOWN
# loss, not a pending repair: the text is not on disk and not in git history, so nothing
# recovers it. Every dangling record NOT listed here fails the gate.
#
# Three reasons put a record here.
#   never-committed - archived on 2026-08-24 between the last commit and the untracking
#                     commit of 22:47:54 ("Stop tracking the local PLAN workspace and
#                     archives"), which deleted the working copies of PLAN/archive/. The
#                     eleven-day window when the directory was tracked (S1620, 2026-08-13)
#                     returned 5967 files; these were never in a commit at all.
#   no-artefact     - archive.ps1 archived the record while its spec file was already
#                     absent, kept the original PLAN/ path and exited 0. The file never
#                     reached PLAN/archive/ and never existed in history.
#   orphan-record   - the record never had a spec file at all: it was inserted and the .md
#                     was never written, so nothing was lost because nothing existed. S2549
#                     disposed of two such records by hand through archive.ps1, which took
#                     them silently. S2617 closed that hole: archive.ps1 now refuses a
#                     missing artefact and names delete.ps1 as the honest disposal for a
#                     record with no text to archive.
#
# Format: <id>  <file>  <reason>
# Do not add a line to silence a fresh failure - a fresh failure means a file was lost
# today and may still be recoverable.

S0001  PLAN/S0001_spec-catalog.md  no-artefact
S0005  PLAN/S0005_vr-auto-immersive-setting.md  no-artefact
S0010  PLAN/S0010_vr-panel-swapchain-availability.md  no-artefact
S0011  PLAN/S0011_vr-photo-capture-reliability.md  no-artefact
S0013  PLAN/S0013_vr-stereo-projection-mapping.md  no-artefact
S0198  PLAN/archive/S0198_nolegal-newpipe-potoken-provider.md  never-committed
S0278  PLAN/S0278_drift_checker_wear_coverage.md  no-artefact
S0279  PLAN/S0279_drift_checker_pr_gate_wiring.md  no-artefact
S0627  PLAN/S0627_stream-collector-legality-gate.md  no-artefact
S0643  PLAN/archive/S0643_cloud-thumbnail-runblocking-token-stall.md  never-committed
S0745  PLAN/archive/S0745_drive-token-authorization-api-any-account.md  never-committed
S0746  PLAN/archive/S0746_drive-token-mint-alias-account-authorizationclient.md  never-committed
S1020  PLAN/S1020_bugfix-extension-install-hang.md  no-artefact
S1060  PLAN/archive/S1060_nolegal-libvlc-universal-codec-iso.md  never-committed
S1177  PLAN/archive/S1177_launcher-google-app-widgets.md  never-committed
S1198  PLAN/archive/S1198_streamsactivity-detekt-debt.md  never-committed
S1269  PLAN/archive/S1269_browse-manager-initializer-constructor-growth.md  never-committed
S1271  PLAN/archive/S1271_vr-settings-hud-panel.md  never-committed
S1285  PLAN/archive/S1285_resource-grid-cell-size-setting.md  never-committed
S1311  PLAN/archive/S1311_browseloadingmanager-detekt-debt.md  never-committed
S1312  PLAN/S1312_queue-selftest.md  no-artefact
S1430  PLAN/archive/S1430_launcher-draggable-scroll-thumb.md  never-committed
S1440  PLAN/archive/S1440_network-monitor-widgets.md  never-committed
S1465  PLAN/archive/S1465_launcher-foreign-notifications-listener.md  never-committed
S1466  PLAN/archive/S1466_launcher-desktop-longpress-quick-menu.md  never-committed
S1519  PLAN/archive/S1519_add-resource-layout-eager-inflate.md  never-committed
S1541  PLAN/archive/S1541_launcherhomeactivity-detekt-debt.md  never-committed
S1549  PLAN/archive/S1549_dead-layout-land-under-configchanges.md  never-committed
S1554  PLAN/archive/S1554_wear-ftp-test-stub-with-library-present.md  never-committed
S1555  PLAN/archive/S1555_wear-sftp-accepts-any-host-key.md  never-committed
S1556  PLAN/archive/S1556_wear-browse-ignores-source-basepath.md  never-committed
S1643  PLAN/archive/S1643_launcher-taskbar-placement-setting.md  never-committed
S1644  PLAN/archive/S1644_launcher-google-apps-starter-section.md  never-committed
S1645  PLAN/archive/S1645_launcher-collapsed-section-packing.md  never-committed
S1649  PLAN/archive/S1649_orphaned-credentials-never-purged.md  never-committed
